ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance.mi.,Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature.F.,Wind_Chill.F.,Humidity...,Pressure.in.,Visibility.mi.,Wind_Direction,Wind_Speed.mph.,Precipitation.in.,Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-3066409,Source2,3,1/15/2018 16:47,1/15/2018 17:31,42.496212,-83.358414,NA,NA,0,Two lanes blocked and right hand shoulder blocked due to accident on I-696 Westbound at Exit 5 Orchard Lake Rd.,Orchard Lake Rd,Farmington,Oakland,MI,48334,US,US/Eastern,KVLL,1/15/2018 16:55,21.6,15.3,87,30.25,1.5,ESE,4.6,NA,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-3284178,Source2,2,9/4/2017 17:45,9/4/2017 18:15,27.894611,-82.770851,NA,NA,0,Accident on Lake Ave at FL-688 Ulmerton Rd .,Lake Ave SE,Largo,Pinellas,FL,33771,US,US/Eastern,KPIE,9/4/2017 17:53,89.1,NA,55,29.99,10,WNW,5.8,NA,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-3704997,Source1,2,3/30/2023 0:20,3/30/2023 2:31,33.139882,-117.181812,33.142145,-117.188059,0.394,Accident on CA-78 W from San Marcos Blvd (CA-78) to Rancho Santa Fe Rd (CA-78).,CA-78,San Marcos,San Diego,CA,92069,US,US/Pacific,KCRQ,3/30/2023 0:53,53,53,66,29.57,10,SW,6,0,Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-3066761,Source2,2,1/15/2018 14:42,1/15/2018 15:27,39.758507,-86.18853,NA,NA,0,Accident on Harding St at Oliver Ave.,Oliver Ave,Indianapolis,Marion,IN,46221-1249,US,US/Eastern,KIND,1/15/2018 14:54,24.1,12.5,96,30.25,3,WSW,12.7,0,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-3630459,Source1,4,6/18/2017 12:29,6/18/2017 18:31,40.37538,-78.43743,40.2547,-78.45821,8.41,Closed between US-22/Exit 28 and Old US-220 Hwy/Exit 15 - Road closed due to accident.,I-99 S,Duncansville,Blair,PA,16635,US,US/Eastern,KAOO,6/18/2017 12:53,82.9,NA,65,29.78,10,South,10.4,NA,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-3112142,Source2,3,12/7/2017 17:17,12/7/2017 17:47,40.192974,-74.879433,NA,NA,0,Lane blocked due to accident on I-95 Southbound at Exits 46A 46B US-1.,US-1 N,Langhorne,Bucks,PA,19047,US,US/Eastern,KTTN,12/7/2017 16:53,41,39,43,29.98,10,WSW,3.5,NA,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Day,Day
A-3035245,Source2,3,2/26/2018 7:49,2/26/2018 8:18,32.427986,-85.900146,NA,NA,0,Accident on I-85 Southbound at Exit 26 AL-229.,I-85 S,Shorter,Macon,AL,36075,US,US/Central,KMXF,2/26/2018 7:56,59,NA,90,30.18,10,East,6.9,0.01,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-3032263,Source2,2,2/24/2018 11:00,2/24/2018 11:29,27.824711,-82.679581,NA,NA,0,Accident on US-19 34th St at 58th Ave.,58th Ave N,Saint Petersburg,Pinellas,FL,33714,US,US/Eastern,KSPG,2/24/2018 10:53,78.1,NA,68,30.21,10,South,11.5,NA,Clear,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-3649927,Source1,2,13:31.0,13:31.0,33.77418,-118.096341,33.77418,-118.096341,0,At Southbound I-405/I-605 Acc - Accident.,CA-22 E,Seal Beach,Orange,CA,90740,US,US/Pacific,KSLI,7/25/2017 17:58,76.1,NA,65,29.96,10,SSW,10.4,NA,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-3781551,Source1,2,12/12/2022 20:00,12/13/2022 1:45,33.2871,-97.178119,33.269523,-97.178031,1.214,Incident on I-35 SB near FM-3163 Road closed. Take alternate route.,I-35 S,Denton,Denton,TX,76207,US,US/Central,KDTO,12/12/2022 19:53,61,61,97,29.12,4,SE,14,0,Cloudy,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-3587994,Source1,2,2/17/2017 19:07,2/18/2017 1:07,34.03309,-118.14486,34.03299,-118.13859,0.359,At Findlay Ave - Accident.,Pomona Fwy E,Los Angeles,Los Angeles,CA,90022,US,US/Pacific,KCQT,2/17/2017 18:50,54,NA,93,29.48,4,Variable,5.8,0,Rain,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-3764507,Source1,2,6/18/2022 12:45,6/18/2022 14:07,28.759245,-81.942682,28.769892,-81.953906,1.002,Incident on FLORIDA'S TPKE NB near MM 297 Left lane blocked.,Florida's Tpke N,Okahumpka,Lake,FL,34762,US,US/Eastern,KLEE,6/18/2022 12:49,95,95,53,29.86,10,NNW,9,0,Thunder,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-4014846,Source1,2,1/30/2023 12:02,1/30/2023 14:14,37.562167,-120.992374,37.562171,-120.990135,0.123,Accident on San Joaquin St from Crows Landing Rd to Avenue B.,San Joaquin St,Modesto,Stanislaus,CA,95358-9437,US,US/Pacific,KMOD,1/30/2023 11:53,45,38,40,29.99,10,NNW,16,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-3522599,Source1,2,4/12/2016 8:26,4/12/2016 14:26,40.385611,-80.18592,40.391212,-80.183213,0.412,At Vista St - Accident.,Union Ave,Oakdale,Allegheny,PA,15071-1352,US,US/Eastern,KPIT,4/12/2016 8:51,39.9,33.4,60,30.22,10,NW,10.4,NA,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-3344872,Source2,2,7/27/2017 10:16,7/27/2017 11:00,35.673302,-78.439651,NA,NA,0,Accident on Oneil St at Covered Bridge Rd.,Covered Bridge Rd,Clayton,Johnston,NC,27520,US,US/Eastern,KJNX,7/27/2017 10:20,80.6,NA,74,30.07,10,South,6.9,NA,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-3526925,Source1,3,12/15/2016 20:29,12/16/2016 2:29,33.78894,-117.88662,33.79523,-117.89337,0.582,At The City Dr/Exit 107C - Accident.,I-5 N,Orange,Orange,CA,92868,US,US/Pacific,KSNA,12/15/2016 20:12,55,NA,100,29.99,4,WNW,5.8,0.04,Light Rain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-3527836,Source1,2,12/21/2016 15:33,12/21/2016 21:33,33.55479,-117.67278,33.55984,-117.672861,0.349,At Crown Valley Pky - Accident.,I-5 N,Mission Viejo,Orange,CA,92691,US,US/Pacific,KSNA,12/21/2016 15:53,64.9,NA,81,29.92,10,NNE,6.9,NA,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-3834284,Source1,2,12/16/2022 16:41,12/16/2022 18:58,33.162815,-117.207038,33.16321,-117.206832,0.03,Accident on Poinsettia Ave from Poinsettia Ct to S Santa Fe Ave.,Poinsettia Ave,Vista,San Diego,CA,92083-8204,US,US/Pacific,KCRQ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-3117693,Source2,3,12/8/2017 11:35,12/8/2017 12:20,34.206543,-118.200233,NA,NA,0,Lane blocked due to accident on I-210 Westbound at Exit 20 CA-2 Angeles Crest Hwy.,Foothill Fwy E,La Canada Flintridge,Los Angeles,CA,91011,US,US/Pacific,KMWS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-3875830,Source1,2,29:23.0,44:32.0,41.422144,-81.877648,41.418929,-81.883931,0.394,Incident on I-480 WB near I-480 Drive with caution.,I-480 W,North Olmsted,Cuyahoga,OH,44070,US,US/Eastern,KCLE,12/5/2022 20:51,46,42,28,29.1,10,S,8,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-3394231,Source2,3,8/22/2017 4:17,8/22/2017 4:47,33.412197,-112.010605,NA,NA,0,Two lanes blocked due to accident on I-10 Eastbound at Exit 151 University Dr.,Pearl Harbor Memorial Highway,Phoenix,Maricopa,AZ,85040,US,US/Mountain,KPHX,8/22/2017 3:51,84.9,NA,37,29.83,10,Calm,NA,NA,Scattered Clouds,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-3792932,Source1,2,25:43.0,06:38.0,25.700666,-80.294212,25.696481,-80.299262,0.427,Stationary traffic on US-1 S - FL-5 from SW 73rd St/Ed Corley Dr (US-1) to Davis Rd/80th St (US-1) due to accident.,S Dixie Hwy,Miami,Miami-Dade,FL,33143,US,US/Eastern,KMIA,4/13/2022 14:53,82,82,62,30.06,10,ESE,14,0,Mostly Cloudy,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-3523180,Source1,2,5/10/2016 16:17,5/10/2016 22:17,38.05415,-84.50575,38.05223,-84.50819,0.188,Between Main St and Manchester St - Accident.,Oliver Lewis Way,Lexington,Fayette,KY,40508-2173,US,US/Eastern,KLEX,5/10/2016 15:54,77,NA,56,30,10,WSW,12.7,NA,Mostly Cloudy,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-3493950,Source1,4,8/29/2016 3:13,8/29/2016 9:13,38.85976,-77.22018,38.81604,-77.22136,3.021,Closed between VA-650/Gallows Rd and Braddock Rd - Road closed due to accident.,Capital Beltway S,Falls Church,Fairfax County,VA,22042,US,US/Eastern,KDCA,8/29/2016 2:52,73.9,NA,76,30.17,10,South,5.8,NA,Scattered Clouds,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-3473960,Source1,2,11/25/2016 16:00,11/25/2016 22:00,39.25727,-76.67603,39.24779,-76.68482,0.806,At I-695/Exit 49 - Accident. in the right lane.,I-95 S,Halethorpe,Baltimore County,MD,21227,US,US/Eastern,KBWI,11/25/2016 15:54,53.1,NA,69,30.16,7,NE,5.8,NA,Haze,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-3510507,Source1,2,8/1/2016 11:04,8/1/2016 17:04,41.95646,-87.73608,41.95216,-87.72834,0.496,At Keeler Ave/Exit 44A - Accident.,I-90 E,Chicago,Cook,IL,60641,US,US/Central,KORD,8/1/2016 10:51,80.1,NA,60,30.09,10,Variable,3.5,NA,Scattered Clouds,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-3739708,Source1,2,2/12/2022 19:28,2/12/2022 20:43,28.301805,-81.364486,28.302894,-81.365387,0.093,Incident on BILL BECK BLVD near HERITAGE PARK WAY Drive with caution.,Bill Beck Blvd,Kissimmee,Osceola,FL,34744,US,US/Eastern,KISM,2/12/2022 19:56,72,72,66,29.97,10,ENE,7,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Day
A-3164643,Source2,2,11/2/2017 14:41,11/2/2017 15:41,45.533936,-122.537636,NA,NA,0,Accident on Halsey St at 122nd Ave.,NE 122nd Ave,Portland,Multnomah,OR,97220,US,US/Pacific,KPDX,11/2/2017 14:38,51.1,NA,77,29.74,5,West,21.9,0.01,Light Rain,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-3949897,Source1,2,8/6/2022 19:33,8/6/2022 20:52,30.462389,-91.171267,30.467367,-91.17084,0.345,Incident on N 18TH ST near CHESTNUT ST Drive with caution.,Bay St,Baton Rouge,East Baton Rouge,LA,70802-3546,US,US/Central,KBTR,8/6/2022 19:53,83,83,79,30.03,10,E,6,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-3462790,Source1,2,1/26/2017 11:57,1/26/2017 17:57,35.217884,-80.834394,35.21788,-80.83439,0,At I-277 - Accident.,E 4th St,Charlotte,Mecklenburg,NC,28204,US,US/Eastern,KCLT,1/26/2017 11:52,66,NA,24,29.71,10,West,24.2,NA,Scattered Clouds,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
