"TractId","State","County","TotalPop","Men","Women","Hispanic","White","Black","Native","Asian","Pacific","VotingAgeCitizen","Income","IncomeErr","IncomePerCap","IncomePerCapErr","Poverty","ChildPoverty","Professional","Service","Office","Construction","Production","Drive","Carpool","Transit","Walk","OtherTransp","WorkAtHome","MeanCommute","Employed","PrivateWork","PublicWork","SelfEmployed","FamilyWork","Unemployment"
1047956100,"Alabama","Dallas",6190,3011,3179,0,48.2,51.4,0,0,0,5101,46216,9368,24706,3369,17.4,19.1,28.6,19.1,24.6,7.8,19.9,91,6.1,0,0,2.4,0.4,24.9,2899,82.5,15.1,2.3,0,8.6
1047956201,"Alabama","Dallas",2787,1262,1525,0,61.5,38.5,0,0,0,2070,35000,25002,22107,4755,36.4,59.4,27.4,16.2,22.4,12,22,90.5,9.5,0,0,0,0,27.2,1028,72.6,20.7,6.7,0,9.3
1047956202,"Alabama","Dallas",1992,970,1022,0.6,69.8,27.7,0.3,0.7,0,1505,43864,6413,21529,2601,18.8,36.8,35.9,11,17.3,12.6,23.2,90.3,7.4,0,0,1.8,0.5,22.6,819,88,10.6,1.3,0,3.3
1047956300,"Alabama","Dallas",3776,1606,2170,0.9,8.2,89.4,0,1,0.2,2641,24657,3103,14771,2331,44.2,61.2,29.7,15.2,25.3,5.6,24.2,85.1,5.4,0,3.2,2,4.4,16.1,1279,74.7,18.5,6.8,0,19.1
1047956400,"Alabama","Dallas",3075,1300,1775,0.1,7.3,92.3,0,0.3,0,2144,15990,3586,9059,1346,44.2,58.5,11,32.6,17.9,9.8,28.7,81.7,10.8,0,3.4,4.2,0,20.7,663,80.5,9,10.4,0,30.1
1047956500,"Alabama","Dallas",3195,1460,1735,0,2.8,97,0,0,0,2584,18654,5389,11346,2282,52.6,79.5,5.8,24,16.1,10.3,43.8,78.2,12.4,0,8.1,0,1.3,19.8,907,81,15,4,0,30.6
1047956600,"Alabama","Dallas",2897,1394,1503,1.3,10.9,86.4,0,0,0,2115,26149,5252,17104,3176,30.1,47,31.4,30.9,15.2,6.8,15.7,85.1,4.4,0,6.3,2.4,1.9,17.5,1102,74.5,21.5,4,0,8.1
1047956701,"Alabama","Dallas",1962,758,1204,3.3,56.7,37.8,0,2.2,0,1469,51875,10540,28888,3391,14.2,13.1,38,14.1,27,3,17.9,94.5,4.9,0,0,0,0.6,16.1,964,74.1,16.3,9.6,0,4.4
1047956702,"Alabama","Dallas",1612,813,799,5.1,43.9,50.1,0,0,0,1169,34152,6593,21299,3641,34.2,60.9,35.4,28,16.8,5.6,14.2,89.5,7.6,0,0,1.1,1.8,16.2,576,81.8,13.4,4.9,0,10.1
1047956800,"Alabama","Dallas",2744,1183,1561,0,28,66.6,0.4,2.3,0,1919,24921,9161,19772,3428,32.2,51.2,38.3,17.9,18.7,5.8,19.2,76,16.3,0,1.5,3.3,2.9,20.2,754,76.3,17.8,6,0,16.4
